,_id,away_score,away_scorers,away_team_id,finished,group,home_score,home_scorers,home_team_id,id,local_date,matchday,persian_date,stadium_id,time_elapsed,type,home_team_fa,away_team_fa,home_team_en,away_team_en,home_flag,away_flag
0,629c9c8a5749c4077500ead4,2,"['Cody Gakpo,Davy Klaassen\n']",4,TRUE,A,0,['null'],3,1,11/21/2022 19:00,2,1400-08-30 19:30,1,finished,group,سنگال,هلند,Senegal,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/125px-Flag_of_Senegal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/125px-Flag_of_the_Netherlands.svg.png
1,629c9c8a5749c4077500ead5,2,"['Mehdi Taremi,Mehdi Taremi']",6,TRUE,B,6,"['Jude Bellingham,Bukayo Saka,Raheem Sterling,Bukayo Saka,Marcus Rashford,Jack Grealish']",5,2,11/21/2022 16:00,2,1400-08-01 16:30,1,finished,group,انگلستان,ایران,England,Iran,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/125px-Flag_of_England.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/125px-Flag_of_Iran.svg.png
2,629c9c8a5749c4077500ead6,2,"['Enner Valencia,Enner Valencia']",2,TRUE,A,0,[''],1,3,11/20/2022 19:00,1,1400-08-29 19:30,1,finished,group,قطر,اکوادور,Qatar,Ecuador,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/125px-Flag_of_Qatar.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/125px-Flag_of_Ecuador.svg.png
3,629c9c8a5749c4077500ead7,1,['Gareth Bale'],8,TRUE,B,1,['Timothy Weah'],7,4,11/21/2022 22:00,2,1400-08-30 22:30,1,finished,group,آمریکا,ولز,United States,Wales,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Wales_%281959%29.svg/125px-Flag_of_Wales_%281959%29.svg.png
4,629c9c8a5749c4077500ead8,2,"['Saleh Al Shehri, Salem Al Dawsari']",10,TRUE,C,1,['Lionel Messi'],9,5,11/22/2022 13:00,3,1400-09-01 13:30,1,finished,group,آرژانتین,عربستان,Argentina,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/125px-Flag_of_Saudi_Arabia.svg.png
5,629c9c8a5749c4077500ead9,0,['null'],12,TRUE,D,0,['null'],11,6,11/22/2022 16:00,3,1400-09-01 16:30,1,finished,group,دانمارک,تونس,Denmark,Tunisia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/125px-Flag_of_Denmark.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/125px-Flag_of_Tunisia.svg.png
6,629c9c8a5749c4077500eada,0,['null'],14,TRUE,C,0,['null'],13,7,11/22/2022 19:00,3,1400-09-01 19:30,1,finished,group,مکزیک,لهستان,Mexico,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/125px-Flag_of_Mexico.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/125px-Flag_of_Poland.svg.png
7,629c9c8a5749c4077500eadb,1,['Craig Goodwin'],16,TRUE,D,4,"['Adrien Rabiot,Olivier Giroud,Kylian Mbappé']",15,8,11/22/2022 22:00,3,1400-09-01 22:30,1,finished,group,فرانسه,استرالیا,France,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/125px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png
8,629c9c8a5749c4077500eadc,0,['null'],18,TRUE,F,0,['null'],17,9,11/23/2022 13:00,4,1400-09-02 13:30,1,finished,group,مراکش,کرواسی,Morocco,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/125px-Flag_of_Morocco.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/125px-Flag_of_Croatia.svg.png
9,629c9c8a5749c4077500eadd,2,"['Ritsu Doan,Takuma Asano']",20,TRUE,E,1,['İlkay Gündoğan'],19,10,11/23/2022 16:00,4,1400-09-02 16:30,1,finished,group,آلمان,ژاپن,Germany,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png
